Season,Home Team,Away Team,Home Team Goals,Away Team Goals,Score,Winner,Loser
2013/14,Marseille,Toulouse,2,2,4,Draw,Draw
2013/14,Nice,Lille,1,0,1,Nice,Lille
2013/14,Rennes,Lyon,2,0,2,Rennes,Lyon
2013/14,Toulouse,St Etienne,0,0,0,Draw,Draw
2013/14,Ajaccio,Rennes,3,1,4,Ajaccio,Rennes
2013/14,Guingamp,Reims,1,2,3,Reims,Guingamp
2013/14,Lille,Sochaux,2,0,2,Lille,Sochaux
2013/14,Marseille,Bastia,3,0,3,Marseille,Bastia
2013/14,Montpellier,Evian Thonon Gaillard,1,1,2,Draw,Draw
2013/14,Valenciennes,Nice,2,1,3,Valenciennes,Nice
2013/14,Monaco,Paris SG,1,1,2,Draw,Draw
2013/14,Nantes,Lyon,1,2,3,Lyon,Nantes
2013/14,Toulouse,Bastia,1,3,4,Bastia,Toulouse
2013/14,Paris SG,Valenciennes,3,0,3,Paris SG,Valenciennes
2013/14,Bastia,Monaco,0,2,2,Monaco,Bastia
2013/14,Lorient,Toulouse,1,3,4,Toulouse,Lorient
2013/14,Nice,Nantes,0,0,0,Draw,Draw
2013/14,Reims,Bordeaux,1,0,1,Reims,Bordeaux
2013/14,Rennes,Montpellier,2,2,4,Draw,Draw
2013/14,Sochaux,Guingamp,1,0,1,Sochaux,Guingamp
2013/14,Evian Thonon Gaillard,Lille,2,2,4,Draw,Draw
2013/14,Lyon,Ajaccio,3,1,4,Lyon,Ajaccio
2013/14,St Etienne,Marseille,1,1,2,Draw,Draw
2013/14,Monaco,Reims,3,2,5,Monaco,Reims
2013/14,Bastia,St Etienne,0,2,2,St Etienne,Bastia
2013/14,Bordeaux,Evian Thonon Gaillard,2,1,3,Bordeaux,Evian Thonon Gaillard
2013/14,Guingamp,Nice,1,0,1,Guingamp,Nice
2013/14,Marseille,Lorient,1,0,1,Marseille,Lorient
2013/14,Montpellier,Ajaccio,2,0,2,Montpellier,Ajaccio
2013/14,Valenciennes,Sochaux,2,2,4,Draw,Draw
2013/14,Lille,Lyon,0,0,0,Draw,Draw
2013/14,Nantes,Rennes,0,3,3,Rennes,Nantes
2013/14,Toulouse,Paris SG,2,4,6,Paris SG,Toulouse
2013/14,Bordeaux,Lorient,3,2,5,Bordeaux,Lorient
2013/14,Evian Thonon Gaillard,Nantes,2,0,2,Evian Thonon Gaillard,Nantes
2013/14,Lorient,Bastia,1,1,2,Draw,Draw
2013/14,Nice,Toulouse,0,2,2,Toulouse,Nice
2013/14,Reims,Valenciennes,3,1,4,Reims,Valenciennes
2013/14,Rennes,Guingamp,0,2,2,Guingamp,Rennes
2013/14,Sochaux,Bordeaux,2,0,2,Sochaux,Bordeaux
2013/14,St Etienne,Monaco,2,0,2,St Etienne,Monaco
2013/14,Ajaccio,Lille,2,3,5,Lille,Ajaccio
2013/14,Lyon,Montpellier,0,0,0,Draw,Draw
2013/14,Paris SG,Marseille,2,0,2,Paris SG,Marseille
2013/14,Marseille,Nice,0,1,1,Nice,Marseille
2013/14,Bastia,Paris SG,0,3,3,Paris SG,Bastia
2013/14,Guingamp,Evian Thonon Gaillard,0,1,1,Evian Thonon Gaillard,Guingamp
2013/14,Monaco,Sochaux,2,1,3,Monaco,Sochaux
2013/14,Nantes,Ajaccio,2,2,4,Draw,Draw
2013/14,Toulouse,Reims,3,2,5,Toulouse,Reims
2013/14,Valenciennes,Rennes,2,1,3,Valenciennes,Rennes
2013/14,Bordeaux,Lyon,1,2,3,Lyon,Bordeaux
2013/14,Lille,Montpellier,2,0,2,Lille,Montpellier
2013/14,Lorient,St Etienne,1,0,1,Lorient,St Etienne
2013/14,Reims,Marseille,1,1,2,Draw,Draw
2013/14,Ajaccio,Guingamp,1,2,3,Guingamp,Ajaccio
2013/14,Evian Thonon Gaillard,Valenciennes,0,1,1,Valenciennes,Evian Thonon Gaillard
2013/14,Lille,Nantes,0,0,0,Draw,Draw
2013/14,Nice,Bastia,2,0,2,Nice,Bastia
2013/14,Rennes,Toulouse,2,3,5,Toulouse,Rennes
2013/14,Sochaux,Lorient,2,0,2,Sochaux,Lorient
2013/14,Lyon,Monaco,2,3,5,Monaco,Lyon
2013/14,Montpellier,Bordeaux,1,1,2,Draw,Draw
2013/14,Paris SG,St Etienne,2,0,2,Paris SG,St Etienne
2013/14,Lorient,Paris SG,0,1,1,Paris SG,Lorient
2013/14,Bastia,Reims,2,0,2,Bastia,Reims
2013/14,Bordeaux,Nice,1,1,2,Draw,Draw
2013/14,Marseille,Rennes,0,1,1,Rennes,Marseille
2013/14,Nantes,Montpellier,2,1,3,Nantes,Montpellier
2013/14,Toulouse,Evian Thonon Gaillard,1,1,2,Draw,Draw
2013/14,Valenciennes,Ajaccio,2,3,5,Ajaccio,Valenciennes
2013/14,Guingamp,Lyon,0,1,1,Lyon,Guingamp
2013/14,Monaco,Lille,1,1,2,Draw,Draw
2013/14,St Etienne,Sochaux,3,1,4,St Etienne,Sochaux
2013/14,Nice,Paris SG,0,1,1,Paris SG,Nice
2013/14,Ajaccio,Toulouse,2,2,4,Draw,Draw
2013/14,Evian Thonon Gaillard,Monaco,1,0,1,Evian Thonon Gaillard,Monaco
2013/14,Montpellier,Valenciennes,0,0,0,Draw,Draw
2013/14,Nantes,Bordeaux,0,0,0,Draw,Draw
2013/14,Reims,Lorient,1,1,2,Draw,Draw
2013/14,Sochaux,Marseille,1,1,2,Draw,Draw
2013/14,Lille,Guingamp,1,0,1,Lille,Guingamp
2013/14,Lyon,St Etienne,1,2,3,St Etienne,Lyon
2013/14,Rennes,Bastia,3,0,3,Rennes,Bastia
2013/14,Marseille,Ajaccio,3,1,4,Marseille,Ajaccio
2013/14,Bastia,Sochaux,2,2,4,Draw,Draw
2013/14,Bordeaux,Rennes,2,2,4,Draw,Draw
2013/14,Guingamp,Montpellier,1,2,3,Montpellier,Guingamp
2013/14,Lorient,Evian Thonon Gaillard,1,1,2,Draw,Draw
2013/14,Paris SG,Reims,3,0,3,Paris SG,Reims
2013/14,Toulouse,Lille,1,2,3,Lille,Toulouse
2013/14,Monaco,Nantes,3,1,4,Monaco,Nantes
2013/14,St Etienne,Nice,1,1,2,Draw,Draw
2013/14,Valenciennes,Lyon,1,2,3,Lyon,Valenciennes
2013/14,Montpellier,Marseille,2,3,5,Marseille,Montpellier
2013/14,Ajaccio,Bordeaux,1,1,2,Draw,Draw
2013/14,Evian Thonon Gaillard,Bastia,2,1,3,Evian Thonon Gaillard,Bastia
2013/14,Lille,Valenciennes,1,0,1,Lille,Valenciennes
2013/14,Nice,Lorient,1,2,3,Lorient,Nice
2013/14,Rennes,Monaco,0,1,1,Monaco,Rennes
2013/14,Sochaux,Toulouse,2,0,2,Sochaux,Toulouse
2013/14,Lyon,Paris SG,1,0,1,Lyon,Paris SG
2013/14,Nantes,Guingamp,1,0,1,Nantes,Guingamp
2013/14,Reims,St Etienne,2,2,4,Draw,Draw
2013/14,St Etienne,Rennes,0,0,0,Draw,Draw
2013/14,Bastia,Ajaccio,2,1,3,Bastia,Ajaccio
2013/14,Bordeaux,Guingamp,5,1,6,Bordeaux,Guingamp
2013/14,Lorient,Montpellier,4,4,8,Draw,Draw
2013/14,Marseille,Lille,0,0,0,Draw,Draw
2013/14,Monaco,Nice,1,0,1,Monaco,Nice
2013/14,Reims,Sochaux,0,1,1,Sochaux,Reims
2013/14,Valenciennes,Nantes,2,6,8,Nantes,Valenciennes
2013/14,Paris SG,Evian Thonon Gaillard,1,0,1,Paris SG,Evian Thonon Gaillard
2013/14,Toulouse,Lyon,0,0,0,Draw,Draw
2013/14,Nantes,Marseille,1,1,2,Draw,Draw
2013/14,Ajaccio,Monaco,1,4,5,Monaco,Ajaccio
2013/14,Evian Thonon Gaillard,St Etienne,1,2,3,St Etienne,Evian Thonon Gaillard
2013/14,Guingamp,Valenciennes,1,0,1,Guingamp,Valenciennes
2013/14,Montpellier,Toulouse,2,1,3,Montpellier,Toulouse
2013/14,Nice,Reims,1,0,1,Nice,Reims
2013/14,Rennes,Lorient,1,1,2,Draw,Draw
2013/14,Lille,Bordeaux,2,1,3,Lille,Bordeaux
2013/14,Lyon,Bastia,4,1,5,Lyon,Bastia
2013/14,Sochaux,Paris SG,1,1,2,Draw,Draw
2013/14,Bastia,Lille,1,1,2,Draw,Draw
2013/14,Lorient,Ajaccio,1,0,1,Lorient,Ajaccio
2013/14,Marseille,Lyon,4,2,6,Marseille,Lyon
2013/14,Reims,Evian Thonon Gaillard,1,0,1,Reims,Evian Thonon Gaillard
2013/14,Sochaux,Nice,2,0,2,Sochaux,Nice
2013/14,St Etienne,Montpellier,2,0,2,St Etienne,Montpellier
2013/14,Toulouse,Nantes,1,1,2,Draw,Draw
2013/14,Valenciennes,Bordeaux,0,1,1,Bordeaux,Valenciennes
2013/14,Monaco,Guingamp,1,1,2,Draw,Draw
2013/14,Paris SG,Rennes,1,2,3,Rennes,Paris SG
2013/14,Ajaccio,Reims,2,1,3,Ajaccio,Reims
2013/14,Bordeaux,Marseille,1,1,2,Draw,Draw
2013/14,Evian Thonon Gaillard,Nice,2,0,2,Evian Thonon Gaillard,Nice
2013/14,Guingamp,Toulouse,2,0,2,Guingamp,Toulouse
2013/14,Lille,Paris SG,1,3,4,Paris SG,Lille
2013/14,Lyon,Lorient,0,1,1,Lorient,Lyon
2013/14,Montpellier,Bastia,0,2,2,Bastia,Montpellier
2013/14,Nantes,St Etienne,1,3,4,St Etienne,Nantes
2013/14,Rennes,Sochaux,1,2,3,Sochaux,Rennes
2013/14,Valenciennes,Monaco,1,2,3,Monaco,Valenciennes
2013/14,Bastia,Nantes,0,0,0,Draw,Draw
2013/14,Lorient,Lille,1,4,5,Lille,Lorient
2013/14,Marseille,Guingamp,1,0,1,Marseille,Guingamp
2013/14,Monaco,Bordeaux,1,1,2,Draw,Draw
2013/14,Nice,Lyon,0,1,1,Lyon,Nice
2013/14,Paris SG,Montpellier,4,0,4,Paris SG,Montpellier
2013/14,Reims,Rennes,1,3,4,Rennes,Reims
2013/14,Sochaux,Evian Thonon Gaillard,0,3,3,Evian Thonon Gaillard,Sochaux
2013/14,St Etienne,Ajaccio,3,1,4,St Etienne,Ajaccio
2013/14,Toulouse,Valenciennes,3,1,4,Toulouse,Valenciennes
2014/15,Reims,Paris SG,2,2,4,Draw,Draw
2014/15,Bastia,Marseille,3,3,6,Draw,Draw
2014/15,Evian Thonon Gaillard,Caen,0,3,3,Caen,Evian Thonon Gaillard
2014/15,Guingamp,St Etienne,0,2,2,St Etienne,Guingamp
2014/15,Lille,Metz,0,0,0,Draw,Draw
2014/15,Montpellier,Bordeaux,0,1,1,Bordeaux,Montpellier
2014/15,Nantes,Lens,1,0,1,Nantes,Lens
2014/15,Nice,Toulouse,3,2,5,Nice,Toulouse
2014/15,Lyon,Rennes,2,0,2,Lyon,Rennes
2014/15,Monaco,Lorient,1,2,3,Lorient,Monaco
2014/15,Caen,Lille,0,1,1,Lille,Caen
2014/15,Lens,Guingamp,0,1,1,Guingamp,Lens
2014/15,Lorient,Nice,0,0,0,Draw,Draw
2014/15,Metz,Nantes,1,1,2,Draw,Draw
2014/15,Paris SG,Bastia,2,0,2,Paris SG,Bastia
2014/15,Rennes,Evian Thonon Gaillard,6,2,8,Rennes,Evian Thonon Gaillard
2014/15,Toulouse,Lyon,2,1,3,Toulouse,Lyon
2014/15,Bordeaux,Monaco,4,1,5,Bordeaux,Monaco
2014/15,Marseille,Montpellier,0,2,2,Montpellier,Marseille
2014/15,St Etienne,Reims,3,1,4,St Etienne,Reims
2014/15,Evian Thonon Gaillard,Paris SG,0,0,0,Draw,Draw
2014/15,Bastia,Toulouse,1,0,1,Bastia,Toulouse
2014/15,Guingamp,Marseille,0,1,1,Marseille,Guingamp
2014/15,Lille,Lorient,2,0,2,Lille,Lorient
2014/15,Montpellier,Metz,2,0,2,Montpellier,Metz
2014/15,Nice,Bordeaux,1,3,4,Bordeaux,Nice
2014/15,Reims,Caen,0,2,2,Caen,Reims
2014/15,Lyon,Lens,0,1,1,Lens,Lyon
2014/15,Nantes,Monaco,0,1,1,Monaco,Nantes
2014/15,St Etienne,Rennes,0,0,0,Draw,Draw
2014/15,Marseille,Nice,4,0,4,Marseille,Nice
2014/15,Caen,Rennes,0,1,1,Rennes,Caen
2014/15,Lens,Reims,4,2,6,Lens,Reims
2014/15,Lorient,Guingamp,4,0,4,Lorient,Guingamp
2014/15,Monaco,Lille,1,1,2,Draw,Draw
2014/15,Nantes,Montpellier,1,0,1,Nantes,Montpellier
2014/15,Toulouse,Evian Thonon Gaillard,1,0,1,Toulouse,Evian Thonon Gaillard
2014/15,Bordeaux,Bastia,1,1,2,Draw,Draw
2014/15,Metz,Lyon,2,1,3,Metz,Lyon
2014/15,Paris SG,St Etienne,5,0,5,Paris SG,St Etienne
2014/15,Lyon,Monaco,2,1,3,Lyon,Monaco
2014/15,Bastia,Lens,1,1,2,Draw,Draw
2014/15,Montpellier,Lorient,1,0,1,Montpellier,Lorient
2014/15,Nice,Metz,1,0,1,Nice,Metz
2014/15,Reims,Toulouse,2,0,2,Reims,Toulouse
2014/15,Rennes,Paris SG,1,1,2,Draw,Draw
2014/15,St Etienne,Caen,1,0,1,St Etienne,Caen
2014/15,Evian Thonon Gaillard,Marseille,1,3,4,Marseille,Evian Thonon Gaillard
2014/15,Guingamp,Bordeaux,2,1,3,Guingamp,Bordeaux
2014/15,Lille,Nantes,2,0,2,Lille,Nantes
2014/15,Bordeaux,Evian Thonon Gaillard,2,1,3,Bordeaux,Evian Thonon Gaillard
2014/15,Lorient,Reims,0,1,1,Reims,Lorient
2014/15,Marseille,Rennes,3,0,3,Marseille,Rennes
2014/15,Metz,Bastia,3,1,4,Metz,Bastia
2014/15,Nantes,Nice,2,1,3,Nantes,Nice
2014/15,Toulouse,Caen,3,3,6,Draw,Draw
2014/15,Lens,St Etienne,0,1,1,St Etienne,Lens
2014/15,Lille,Montpellier,0,0,0,Draw,Draw
2014/15,Monaco,Guingamp,1,0,1,Monaco,Guingamp
2014/15,Paris SG,Lyon,1,1,2,Draw,Draw
2014/15,Reims,Marseille,0,5,5,Marseille,Reims
2014/15,Rennes,Toulouse,0,3,3,Toulouse,Rennes
2014/15,Bastia,Nantes,0,0,0,Draw,Draw
2014/15,Caen,Paris SG,0,2,2,Paris SG,Caen
2014/15,Evian Thonon Gaillard,Lens,2,1,3,Evian Thonon Gaillard,Lens
2014/15,Guingamp,Metz,0,1,1,Metz,Guingamp
2014/15,Lyon,Lorient,4,0,4,Lyon,Lorient
2014/15,Montpellier,Monaco,0,1,1,Monaco,Montpellier
2014/15,Nice,Lille,1,0,1,Nice,Lille
2014/15,St Etienne,Bordeaux,1,1,2,Draw,Draw
2014/15,Lille,Bastia,1,0,1,Lille,Bastia
2014/15,Lorient,Evian Thonon Gaillard,0,2,2,Evian Thonon Gaillard,Lorient
2014/15,Metz,Reims,3,0,3,Metz,Reims
2014/15,Monaco,Nice,0,1,1,Nice,Monaco
2014/15,Montpellier,Guingamp,2,1,3,Montpellier,Guingamp
2014/15,Toulouse,Paris SG,1,1,2,Draw,Draw
2014/15,Bordeaux,Rennes,2,1,3,Bordeaux,Rennes
2014/15,Lens,Caen,0,0,0,Draw,Draw
2014/15,Marseille,St Etienne,2,1,3,Marseille,St Etienne
2014/15,Nantes,Lyon,1,1,2,Draw,Draw
2014/15,Reims,Bordeaux,1,0,1,Reims,Bordeaux
2014/15,Bastia,Lorient,0,2,2,Lorient,Bastia
2014/15,Caen,Marseille,1,2,3,Marseille,Caen
2014/15,Evian Thonon Gaillard,Metz,3,0,3,Evian Thonon Gaillard,Metz
2014/15,Nice,Montpellier,1,1,2,Draw,Draw
2014/15,Rennes,Lens,2,0,2,Rennes,Lens
2014/15,Guingamp,Nantes,0,1,1,Nantes,Guingamp
2014/15,Lyon,Lille,3,0,3,Lyon,Lille
2014/15,Paris SG,Monaco,1,1,2,Draw,Draw
2014/15,St Etienne,Toulouse,0,1,1,Toulouse,St Etienne
2014/15,Lens,Paris SG,1,3,4,Paris SG,Lens
2014/15,Lille,Guingamp,1,2,3,Guingamp,Lille
2014/15,Lorient,St Etienne,0,1,1,St Etienne,Lorient
2014/15,Metz,Rennes,0,0,0,Draw,Draw
2014/15,Monaco,Evian Thonon Gaillard,2,0,2,Monaco,Evian Thonon Gaillard
2014/15,Nantes,Reims,1,1,2,Draw,Draw
2014/15,Nice,Bastia,0,1,1,Bastia,Nice
2014/15,Bordeaux,Caen,1,1,2,Draw,Draw
2014/15,Lyon,Montpellier,5,1,6,Lyon,Montpellier
2014/15,Marseille,Toulouse,2,0,2,Marseille,Toulouse
2014/15,Toulouse,Lens,0,2,2,Lens,Toulouse
2014/15,Bastia,Monaco,1,3,4,Monaco,Bastia
2014/15,Caen,Lorient,2,1,3,Caen,Lorient
2014/15,Evian Thonon Gaillard,Nantes,0,2,2,Nantes,Evian Thonon Gaillard
2014/15,Paris SG,Bordeaux,3,0,3,Paris SG,Bordeaux
2014/15,Reims,Montpellier,1,0,1,Reims,Montpellier
2014/15,Guingamp,Nice,2,7,9,Nice,Guingamp
2014/15,Lyon,Marseille,1,0,1,Lyon,Marseille
2014/15,Rennes,Lille,2,0,2,Rennes,Lille
2014/15,St Etienne,Metz,1,0,1,St Etienne,Metz
2014/15,Monaco,Reims,1,1,2,Draw,Draw
2014/15,Guingamp,Bastia,1,0,1,Guingamp,Bastia
2014/15,Lille,St Etienne,1,1,2,Draw,Draw
2014/15,Lorient,Paris SG,1,2,3,Paris SG,Lorient
2014/15,Metz,Caen,3,2,5,Metz,Caen
2014/15,Montpellier,Evian Thonon Gaillard,2,0,2,Montpellier,Evian Thonon Gaillard
2014/15,Nice,Lyon,1,3,4,Lyon,Nice
2014/15,Bordeaux,Toulouse,2,1,3,Bordeaux,Toulouse
2014/15,Marseille,Lens,2,1,3,Marseille,Lens
2014/15,Nantes,Rennes,1,1,2,Draw,Draw
2014/15,Rennes,Lorient,1,0,1,Rennes,Lorient
2014/15,Bastia,Montpellier,2,0,2,Bastia,Montpellier
2014/15,Caen,Nantes,1,2,3,Nantes,Caen
2014/15,Evian Thonon Gaillard,Nice,1,0,1,Evian Thonon Gaillard,Nice
2014/15,Lens,Bordeaux,1,2,3,Bordeaux,Lens
2014/15,Toulouse,Metz,3,0,3,Toulouse,Metz
2014/15,Lyon,Guingamp,3,1,4,Lyon,Guingamp
2014/15,Paris SG,Marseille,2,0,2,Paris SG,Marseille
2014/15,Reims,Lille,2,0,2,Reims,Lille
2014/15,St Etienne,Monaco,1,1,2,Draw,Draw
2014/15,Metz,Paris SG,2,3,5,Paris SG,Metz
2014/15,Bastia,Lyon,0,0,0,Draw,Draw
2014/15,Guingamp,Rennes,0,1,1,Rennes,Guingamp
2014/15,Lorient,Lens,1,0,1,Lorient,Lens
2014/15,Monaco,Caen,2,2,4,Draw,Draw
2014/15,Nice,Reims,0,0,0,Draw,Draw
2014/15,Marseille,Bordeaux,3,1,4,Marseille,Bordeaux
2014/15,Montpellier,Toulouse,2,0,2,Montpellier,Toulouse
2014/15,Nantes,St Etienne,0,0,0,Draw,Draw
2014/15,Marseille,Nantes,2,0,2,Marseille,Nantes
2014/15,Caen,Montpellier,1,1,2,Draw,Draw
2014/15,Lens,Metz,2,0,2,Lens,Metz
2014/15,Paris SG,Nice,1,0,1,Paris SG,Nice
2014/15,Reims,Bastia,2,1,3,Reims,Bastia
2014/15,Rennes,Monaco,2,0,2,Rennes,Monaco
2014/15,Toulouse,Lorient,2,3,5,Lorient,Toulouse
2014/15,Bordeaux,Lille,1,0,1,Bordeaux,Lille
2014/15,Evian Thonon Gaillard,Guingamp,2,0,2,Evian Thonon Gaillard,Guingamp
2014/15,St Etienne,Lyon,3,0,3,St Etienne,Lyon
2014/15,Lorient,Marseille,1,1,2,Draw,Draw
2014/15,Monaco,Lens,2,0,2,Monaco,Lens
2014/15,Nantes,Toulouse,1,2,3,Toulouse,Nantes
2014/15,Bastia,Evian Thonon Gaillard,1,2,3,Evian Thonon Gaillard,Bastia
2014/15,Guingamp,Caen,5,1,6,Guingamp,Caen
2014/15,Lille,Paris SG,1,1,2,Draw,Draw
2014/15,Metz,Bordeaux,0,0,0,Draw,Draw
2014/15,Montpellier,St Etienne,0,2,2,St Etienne,Montpellier
2014/15,Nice,Rennes,1,2,3,Rennes,Nice
2014/15,Lyon,Reims,2,1,3,Lyon,Reims
2014/15,Toulouse,Monaco,0,2,2,Monaco,Toulouse
2014/15,Bordeaux,Lorient,3,2,5,Bordeaux,Lorient
2014/15,Caen,Nice,2,3,5,Nice,Caen
2014/15,Paris SG,Nantes,2,1,3,Paris SG,Nantes
2014/15,Rennes,Montpellier,0,4,4,Montpellier,Rennes
2014/15,St Etienne,Bastia,1,0,1,St Etienne,Bastia
2014/15,Evian Thonon Gaillard,Lyon,2,3,5,Lyon,Evian Thonon Gaillard
2014/15,Lens,Lille,1,1,2,Draw,Draw
2014/15,Marseille,Metz,3,1,4,Marseille,Metz
2014/15,Reims,Guingamp,2,3,5,Guingamp,Reims
2014/15,Lyon,Caen,3,0,3,Lyon,Caen
2014/15,Bastia,Rennes,2,0,2,Bastia,Rennes
2014/15,Lorient,Metz,3,1,4,Lorient,Metz
2014/15,Montpellier,Lens,3,3,6,Draw,Draw
2014/15,Nantes,Bordeaux,2,1,3,Nantes,Bordeaux
2014/15,Reims,Evian Thonon Gaillard,3,2,5,Reims,Evian Thonon Gaillard
2014/15,Guingamp,Paris SG,1,0,1,Guingamp,Paris SG
2014/15,Lille,Toulouse,3,0,3,Lille,Toulouse
2014/15,Monaco,Marseille,1,0,1,Monaco,Marseille
2014/15,Nice,St Etienne,0,0,0,Draw,Draw
2014/15,Lens,Nice,2,0,2,Lens,Nice
2014/15,Caen,Bastia,1,1,2,Draw,Draw
2014/15,Lorient,Nantes,1,2,3,Nantes,Lorient
2014/15,Metz,Monaco,0,1,1,Monaco,Metz
2014/15,Paris SG,Montpellier,0,0,0,Draw,Draw
2014/15,Rennes,Reims,1,3,4,Reims,Rennes
2014/15,Toulouse,Guingamp,1,1,2,Draw,Draw
2014/15,Bordeaux,Lyon,0,5,5,Lyon,Bordeaux
2014/15,Marseille,Lille,2,1,3,Marseille,Lille
2014/15,St Etienne,Evian Thonon Gaillard,3,0,3,St Etienne,Evian Thonon Gaillard
2014/15,Lille,Evian Thonon Gaillard,1,0,1,Lille,Evian Thonon Gaillard
2014/15,Montpellier,Marseille,2,1,3,Montpellier,Marseille
2014/15,Bastia,Paris SG,4,2,6,Bastia,Paris SG
2014/15,Evian Thonon Gaillard,Rennes,1,1,2,Draw,Draw
2014/15,Guingamp,Lens,2,0,2,Guingamp,Lens
2014/15,Lille,Caen,1,0,1,Lille,Caen
2014/15,Nice,Lorient,3,1,4,Nice,Lorient
2014/15,Reims,St Etienne,1,2,3,St Etienne,Reims
2014/15,Lyon,Toulouse,3,0,3,Lyon,Toulouse
2014/15,Monaco,Bordeaux,0,0,0,Draw,Draw
2014/15,Nantes,Metz,0,0,0,Draw,Draw
2014/15,Bordeaux,Nice,1,2,3,Nice,Bordeaux
2014/15,Caen,Reims,4,1,5,Caen,Reims
2014/15,Lens,Lyon,0,2,2,Lyon,Lens
2014/15,Lorient,Lille,1,0,1,Lorient,Lille
2014/15,Metz,Montpellier,2,3,5,Montpellier,Metz
2014/15,Monaco,Nantes,1,0,1,Monaco,Nantes
2014/15,Toulouse,Bastia,1,1,2,Draw,Draw
2014/15,Marseille,Guingamp,2,1,3,Marseille,Guingamp
2014/15,Paris SG,Evian Thonon Gaillard,4,2,6,Paris SG,Evian Thonon Gaillard
2014/15,Rennes,St Etienne,0,0,0,Draw,Draw
2014/15,Nice,Marseille,2,1,3,Nice,Marseille
2014/15,Bastia,Bordeaux,0,0,0,Draw,Draw
2014/15,Guingamp,Lorient,3,2,5,Guingamp,Lorient
2014/15,Lille,Monaco,0,1,1,Monaco,Lille
2014/15,Montpellier,Nantes,4,0,4,Montpellier,Nantes
2014/15,Evian Thonon Gaillard,Toulouse,1,0,1,Evian Thonon Gaillard,Toulouse
2014/15,Lyon,Metz,2,0,2,Lyon,Metz
2014/15,Reims,Lens,0,0,0,Draw,Draw
2014/15,Rennes,Caen,1,4,5,Caen,Rennes
2014/15,St Etienne,Paris SG,0,1,1,Paris SG,St Etienne
2014/15,Paris SG,Rennes,1,0,1,Paris SG,Rennes
2014/15,Lens,Bastia,1,1,2,Draw,Draw
2014/15,Lorient,Montpellier,0,0,0,Draw,Draw
2014/15,Marseille,Evian Thonon Gaillard,1,0,1,Marseille,Evian Thonon Gaillard
2014/15,Metz,Nice,0,0,0,Draw,Draw
2014/15,Nantes,Lille,1,1,2,Draw,Draw
2014/15,Toulouse,Reims,1,0,1,Toulouse,Reims
2014/15,Bordeaux,Guingamp,1,1,2,Draw,Draw
2014/15,Caen,St Etienne,1,0,1,Caen,St Etienne
2014/15,Monaco,Lyon,0,0,0,Draw,Draw
2014/15,St Etienne,Lens,3,3,6,Draw,Draw
2014/15,Bastia,Metz,2,0,2,Bastia,Metz
2014/15,Caen,Toulouse,2,0,2,Caen,Toulouse
2014/15,Evian Thonon Gaillard,Bordeaux,0,1,1,Bordeaux,Evian Thonon Gaillard
2014/15,Montpellier,Lille,1,2,3,Lille,Montpellier
2014/15,Reims,Lorient,1,3,4,Lorient,Reims
2014/15,Rennes,Marseille,1,1,2,Draw,Draw
2014/15,Guingamp,Monaco,1,0,1,Guingamp,Monaco
2014/15,Lyon,Paris SG,1,1,2,Draw,Draw
2014/15,Nice,Nantes,0,0,0,Draw,Draw
2014/15,Marseille,Reims,2,2,4,Draw,Draw
2014/15,Lens,Evian Thonon Gaillard,0,2,2,Evian Thonon Gaillard,Lens
2014/15,Lille,Nice,0,0,0,Draw,Draw
2014/15,Nantes,Bastia,0,2,2,Bastia,Nantes
2014/15,Paris SG,Caen,2,2,4,Draw,Draw
2014/15,Toulouse,Rennes,2,1,3,Toulouse,Rennes
2014/15,Bordeaux,St Etienne,1,0,1,Bordeaux,St Etienne
2014/15,Lorient,Lyon,1,1,2,Draw,Draw
2014/15,Metz,Guingamp,0,2,2,Guingamp,Metz
2014/15,Nice,Monaco,0,1,1,Monaco,Nice
2014/15,Bastia,Lille,2,1,3,Bastia,Lille
2014/15,Caen,Lens,4,1,5,Caen,Lens
2014/15,Paris SG,Toulouse,3,1,4,Paris SG,Toulouse
2014/15,Rennes,Bordeaux,1,1,2,Draw,Draw
2014/15,Guingamp,Montpellier,0,2,2,Montpellier,Guingamp
2014/15,Lyon,Nantes,1,0,1,Lyon,Nantes
2014/15,Reims,Metz,0,0,0,Draw,Draw
2014/15,St Etienne,Marseille,2,2,4,Draw,Draw
2014/15,Marseille,Caen,2,3,5,Caen,Marseille
2014/15,Bordeaux,Reims,1,1,2,Draw,Draw
2014/15,Lens,Rennes,0,1,1,Rennes,Lens
2014/15,Lille,Lyon,2,1,3,Lille,Lyon
2014/15,Lorient,Bastia,2,0,2,Lorient,Bastia
2014/15,Metz,Evian Thonon Gaillard,1,2,3,Evian Thonon Gaillard,Metz
2014/15,Toulouse,St Etienne,1,1,2,Draw,Draw
2014/15,Monaco,Paris SG,0,0,0,Draw,Draw
2014/15,Montpellier,Nice,2,1,3,Montpellier,Nice
2014/15,Nantes,Guingamp,1,0,1,Nantes,Guingamp
2014/15,Evian Thonon Gaillard,Lorient,1,0,1,Evian Thonon Gaillard,Lorient
2014/15,Toulouse,Marseille,1,6,7,Marseille,Toulouse
2014/15,Bastia,Nice,2,1,3,Bastia,Nice
2014/15,Caen,Bordeaux,1,2,3,Bordeaux,Caen
2014/15,Evian Thonon Gaillard,Monaco,1,3,4,Monaco,Evian Thonon Gaillard
